RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155723 Points)
Capacity (mAh)	Voltage (V)
110.5	3.6715
113.9	3.6786
117.3	3.6861
120.6	3.6945
124	3.7031
127.3	3.7124
130.7	3.7224
134	3.7335
137.3	3.7447
140.7	3.7571
144.1	3.7695
147.4	3.7831
150.8	3.7965
154.1	3.8104
157.4	3.8247
160.8	3.8392
164.2	3.8541
167.5	3.8693
170.8	3.8848
174.2	3.9003
177.6	3.9164
180.9	3.9332
184.3	3.9512
187.6	3.9688
190.9	3.9862
194.3	4.0035
197.7	4.0209
201	4.038
204.3	4.0547
207.7	4.0721
211.1	4.0891
213.8	4.0993
0	4.0925
3.4	4.0631
6.7	4.0426
10.1	4.0237
13.4	4.0045
16.8	3.9856
20.1	3.966
23.4	3.9465
26.8	3.9264
30.1	3.9068
33.5	3.8882
36.9	3.8709
40.2	3.8547
43.5	3.8392
46.9	3.824
50.3	3.8092
53.6	3.7946
57	3.7806
60.3	3.7664
63.6	3.7527
67	3.7394
70.3	3.7267
73.7	3.7143
77	3.7028
80.4	3.6914
83.8	3.6808
87.1	3.6709
90.5	3.6613
93.8	3.6526
97.2	3.6445
100.5	3.6368
103.8	3.6297
107.2	3.6225
110.5	3.6157
113.9	3.6095
117.3	3.6027
120.6	3.5959
124	3.5887
127.3	3.5819
130.7	3.5748
134	3.5677
137.3	3.5599
140.7	3.5522
144.1	3.5438
147.4	3.5354
150.8	3.5258
154.1	3.5156
157.4	3.5029
160.8	3.4898
164.2	3.4774
167.5	3.4654
170.8	3.4557
174.2	3.4483
177.6	3.4412
180.9	3.4337
184.3	3.426
187.6	3.4173
190.9	3.4071
194.3	3.3934
197.7	3.3717
200.9	3.3317
201	3.3308
203.4	3.2908
204.3	3.2734
206.3	3.2331
207.7	3.2
209.2	3.16
210.5	3.12
211.1	3.1011
212.1	3.0611
213	3.0211
213.5	3
0	3.013
0.3	3.053
0.9	3.093
1.6	3.133
2.6	3.173
3.4	3.2021
4.6	3.2421
6.1	3.2821
6.7	3.2955
8.6	3.3355
10.1	3.3599
12.7	3.3999
13.4	3.4089
16.8	3.4387
20.1	3.4489
23.4	3.4564
26.8	3.4635
30.1	3.4703
33.5	3.4774
36.9	3.4852
40.2	3.4939
43.5	3.5038
46.9	3.515
50.3	3.5264
53.6	3.5382
57	3.5503
60.3	3.5618
63.6	3.5726
67	3.5828
70.3	3.594
73.7	3.6033
77	3.6108
80.4	3.617
83.8	3.6232
87.1	3.6294
90.5	3.6356
93.8	3.6414
97.2	3.6473
100.5	3.6529
103.8	3.6588
107.2	3.665
110.5	3.6718
113.9	3.679
117.3	3.6864
120.6	3.6945
124	3.7034
127.3	3.7127
130.7	3.723
134	3.7338
137.3	3.7453
140.7	3.7577
144.1	3.7704
147.4	3.7837
150.8	3.7974
154.1	3.8116
157.4	3.8259
160.8	3.8402
164.2	3.855
167.5	3.8702
170.8	3.8857
174.2	3.9015
177.6	3.9177
180.9	3.9347
184.3	3.9521
187.6	3.9701
190.9	3.9877
194.3	4.0051
