RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269954 Points)
Capacity (mAh)	Voltage (V)
161.53	3.8436
164.9	3.8585
168.26	3.874
171.63	3.8898
174.99	3.9059
178.36	3.9223
181.72	3.9381
185.09	3.9539
188.45	3.9691
191.82	3.9849
195.19	4.0008
198.55	4.0163
201.92	4.0324
205.28	4.0488
208.65	4.0649
212.01	4.0817
215.38	4.0981
217.57	4.0981
218.41	4.0981
0	4.0913
3.37	4.0612
6.73	4.042
10.1	4.024
13.46	4.0063
16.83	3.9887
20.19	3.9707
23.56	3.953
26.92	3.9357
30.29	3.9177
33.65	3.8994
37.02	3.8805
40.38	3.8622
43.75	3.8445
47.11	3.8281
50.48	3.8123
53.84	3.7968
57.21	3.7822
60.57	3.7676
63.94	3.7534
67.3	3.7403
70.67	3.7267
74.04	3.714
77.4	3.7016
80.77	3.6901
84.13	3.6793
87.5	3.669
90.86	3.6594
94.23	3.6501
97.59	3.6418
100.96	3.6343
104.32	3.6269
107.69	3.6201
111.05	3.6135
114.42	3.607
117.78	3.6011
121.15	3.5953
124.51	3.5894
127.88	3.5835
131.25	3.5773
134.61	3.5711
137.98	3.5642
141.34	3.5574
144.71	3.5503
148.07	3.5422
151.44	3.5342
154.8	3.5255
158.17	3.5162
161.53	3.505
164.9	3.4933
168.26	3.4802
171.63	3.4678
174.99	3.4557
178.36	3.4455
181.72	3.4365
185.09	3.4288
188.45	3.4198
191.82	3.4105
195.18	3.3987
198.55	3.3851
201.92	3.3661
205.28	3.3379
208.65	3.2908
211.1	3.2406
212.01	3.2189
213.86	3.1684
215.38	3.1191
216.64	3.0688
217.72	3.0183
218.07	2.9997
0	3.0453
0.27	3.0955
0.91	3.1457
1.93	3.1959
3.31	3.2462
3.37	3.2474
5.15	3.2976
6.73	3.3336
9.41	3.3838
10.1	3.3947
13.46	3.4384
16.83	3.4545
20.19	3.4626
23.56	3.47
26.92	3.4774
30.29	3.4846
33.65	3.4917
37.02	3.5001
40.38	3.5094
43.75	3.5199
47.11	3.5314
50.48	3.5432
53.84	3.5553
57.21	3.5667
60.57	3.5779
63.94	3.5887
67.31	3.599
70.67	3.6077
