RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
378864	16.4
379033	10.1
379033	-20.1
379633	-20.1
380233	-20.1
380833	-20.1
381433	-20.1
382033	-20.1
382633	-20.1
383233	-20.1
383833	-20.1
384433	-20.1
385033	-20.1
385633	-20.1
386233	-20.1
386833	-20.1
387433	-20.1
388033	-20.1
388633	-20.1
389233	-20.1
389833	-20.1
390433	-20.1
391033	-20.1
391633	-20.1
392233	-20.1
392833	-20.1
393433	-20.1
394033	-20.1
394633	-20.1
395233	-20.1
395833	-20.1
396433	-20.1
397033	-20.1
397633	-20.1
398233	-20.1
398833	-20.1
399433	-20.1
400033	-20.1
400633	-20.1
401233	-20.1
401833	-20.1
402433	-20.1
403033	-20.1
403633	-20.1
404233	-20.1
404833	-20.1
405433	-20.1
406033	-20.1
406633	-20.1
407233	-20.1
407833	-20.1
408433	-20.1
409033	-20.1
409633	-20.1
410233	-20.1
410833	-20.1
411433	-20.1
412033	-20.1
412633	-20.1
413233	-20.1
413833	-20.1
414433	-20.1
415033	-20.1
415495	-20.1
415633	-20.1
416001	-20.1
416233	-20.1
416522	-20.1
416776	-20.1
416833	-20.1
417047	-20.1
417232	-20.1
417393	-20.1
417433	-20.1
417440	-20.1
417441	20.1
417485	20.1
417586	20.1
417720	20.1
417883	20.1
418040	20.1
418269	20.1
418546	20.1
418640	20.1
418993	20.1
419240	20.1
419719	20.1
419840	20.1
420440	20.1
421040	20.1
421640	20.1
422241	20.1
422840	20.1
423440	20.1
424040	20.1
424640	20.1
425240	20.1
425840	20.1
426440	20.1
427040	20.1
427640	20.1
428240	20.1
428840	20.1
429440	20.1
430040	20.1
430640	20.1
431241	20.1
431840	20.1
432440	20.1
433040	20.1
433640	20.1
434240	20.1
434840	20.1
435440	20.1
436040	20.1
436640	20.1
437240	20.1
437840	20.1
438440	20.1
439040	20.1
439640	20.1
440240	20.1
440840	20.1
441440	20.1
442040	20.1
442640	20.1
443240	20.1
443840	20.1
444440	20.1
445040	20.1
445640	20.1
446240	20.1
446841	20.1
447440	20.1
448040	20.1
448640	20.1
449240	20.1
449840	20.1
450440	20.1
451040	20.1
451640	20.1
452240	20.1
452840	20.1
453441	20.1
454040	20.1
454640	20.1
455240	20.1
455841	13
455932	10.1
455932	-20.1
456532	-20.1
457132	-20.1
457732	-20.1
458332	-20.1
458932	-20.1
459532	-20.1
460132	-20.1
460732	-20.1
461332	-20.1
461932	-20.1
462532	-20.1
463132	-20.1
463732	-20.1
464332	-20.1
464932	-20.1
465532	-20.1
466132	-20.1
466732	-20.1
467332	-20.1
467932	-20.1
468532	-20.1
469132	-20.1
469732	-20.1
470332	-20.1
470932	-20.1
471532	-20.1
472132	-20.1
472732	-20.1
473332	-20.1
